#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
50500	100.99999999994601	-1638546.4822359374	321337.64123888087	-1317208.8409970566	299.6784776929772	1269.5331757825047	1.009488104448399	0
51000	101.99999999994368	-1638526.1522034723	321613.21472185955	-1316912.937481613	299.9354766600238	1271.0169249542848	1.0083096566169896	15.6
51500	102.99999999994135	-1637259.925675718	320982.6641740622	-1316277.261501656	299.3474271942225	1271.5734848493032	1.0078683256806975	15.5
52000	103.99999999993902	-1636289.421679751	322610.0078753016	-1313679.4138044494	300.8650828326671	1274.4932904798977	1.0055593456066538	15.1
52500	104.99999999993669	-1638378.143013753	323533.2469116228	-1314844.8961021302	301.7260926660772	1274.6372640669788	1.0054457650688087	9.82
53000	105.99999999993436	-1637036.8760999674	320419.6042786435	-1316617.2718213238	298.82231929942844	1275.3159812227213	1.0049106715704381	8.21
53500	106.99999999993203	-1638684.2354326155	321669.42824881175	-1317014.8071838038	299.9879012191817	1273.287037572829	1.006511965752839	7.13
54000	107.9999999999297	-1639785.4749430912	321924.00700012746	-1317861.4679429638	300.22532056524136	1273.4941028011908	1.006348310790025	6.73
54500	108.99999999992737	-1638507.0972767733	320376.25815461157	-1318130.8391221617	298.7818948399294	1272.087784733249	1.007460848642437	6.73
55000	109.99999999992504	-1636334.029774703	320695.5069558561	-1315638.522818847	299.0796252719866	1273.290896432398	1.006508915398563	7.12
55500	110.99999999992271	-1638659.3583512902	322076.2755145747	-1316583.0828367155	300.36732570486396	1272.1436805752353	1.0074165825164774	7.5
56000	111.99999999992038	-1638463.6404738873	322117.2586267784	-1316346.381847109	300.4055464269336	1272.0028988446861	1.007528080572024	7.85
56500	112.99999999991805	-1639206.0552727971	322280.7440852577	-1316925.3111875395	300.55801245342565	1270.402319400791	1.0087974648531164	8.16
57000	113.99999999991572	-1638332.6693966584	321545.119270322	-1316787.5501263365	299.8719710552154	1269.4606270410484	1.0095457959513356	8.22
57500	114.99999999991338	-1636993.6434814874	320596.7333720012	-1316396.9101094862	298.98750933707214	1268.765224948135	1.0100991215356059	8.39
58000	115.99999999991105	-1639920.4291309547	321614.82947862527	-1318305.5996523295	299.93698257712566	1269.4653723668118	1.009542022218094	8.63
58500	116.99999999990872	-1638891.9007930188	321946.45148077037	-1316945.4493122483	300.24625221758606	1269.6986377806984	1.0093565520359253	8.89
59000	117.9999999999064	-1637170.5867181448	321685.08529261994	-1315485.501425525	300.00250292919475	1271.972200177153	1.0075523969600484	9.11
59500	118.99999999990406	-1639093.6429850655	322469.8630233072	-1316623.7799617583	300.73438418267307	1269.5044228008949	1.009510968325343	9.16
60000	119.99999999990173	-1640037.995549121	320394.3643950664	-1319643.6311540545	298.7987806630634	1271.2551015760957	1.0081207442677256	9.36
